comment,violence_score,violence_type,reason,confidence,needs_review,raw_content,source_file,created_at,raw_response
咋这样啊,0.3,无,评论仅包含疑问词'咋这样啊'，没有明显的侮辱、威胁、歧视或煽动性内容。,0.9,False,咋这样啊[吃惊],processed_comments_weibo_4000.csv,2025-03-26 13:11:19+08:00,
就是啊,0.3,无,评论仅包含'就是啊'，表达了同意，不包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,[傻眼][傻眼][傻眼]就是啊,processed_comments_weibo_4000.csv,2025-03-26 13:08:37+08:00,
。这个丈夫在干啥…,0.6,harassment,评论内容暗示对某人的指责和质疑，带有潜在的侮辱和贬低意味，可能构成网络暴力。,0.9,False,。这个丈夫在干啥…,processed_comments_weibo_4000.csv,2025-03-26 13:09:21+08:00,
真的很离谱,0.3,无,评论仅表达了对某事物的惊讶或不认同，不包含任何侮辱、威胁、歧视或煽动性内容。,0.9,False,真的很离谱,processed_comments_weibo_4000.csv,2025-03-26 13:14:25+08:00,
天看词条已被气🐭,0.8,harassment,使用'气🐭' (气耗子) 这种带有侮辱性和贬义的表达，带有明显的攻击性和恶意，属于网络暴力。,0.9,False,天看词条已被气🐭[跪了][跪了],processed_comments_weibo_4000.csv,2025-03-26 12:56:56+08:00,
把我整不会了.,0.6,harassment,虽然没有直接的侮辱性词语，但'把我整不会了'表达了强烈的负面情绪和对他人行为的不满，带有攻击性和威胁意味，属于网络暴力的一种形式。,0.9,False,把我整不会了.,processed_comments_weibo_4000.csv,2025-03-26 17:11:14+08:00,
@狮子,0.8,harassment,评论仅包含'@狮子'，这可能是一种侮辱性或威胁性的指代，缺乏具体内容，但其潜在含义可能构成网络暴力。,0.9,False,@狮子,processed_comments_weibo_4000.csv,2025-03-26 20:46:01+08:00,
最讨厌这样的人，趁着远离吧,0.7,harassment,使用'最讨厌'等带有强烈负面情绪的词语，并表达了不希望对方继续存在的意愿，属于侮辱和威胁的范畴。,0.9,False,最讨厌这样的人，趁着远离吧,processed_comments_weibo_4000.csv,2025-03-26 15:06:00+08:00,
没错,0.2,无,评论仅为'没错'，表达了同意，不包含任何侮辱、威胁、歧视或煽动性内容。,0.95,False,没错,processed_comments_weibo_4000.csv,2025-03-26 16:31:15+08:00,
是啊,0.2,无,评论仅为'是啊'，没有任何攻击性、侮辱性或威胁性内容。,0.95,False,是啊,processed_comments_weibo_4000.csv,2025-03-26 15:19:04+08:00,
远离这种人吧,0.6,harassment,虽然没有直接的威胁或攻击性言论，但‘远离这种人’带有排斥和否定意味，可能被解读为一种带有攻击性的劝离，属于网络暴力的一种形式。,0.9,False,远离这种人吧[允悲],processed_comments_weibo_4000.csv,2025-03-26 18:24:09+08:00,
这种人配当男人吗,0.8,harassment,评论使用侮辱性语言，带有攻击性和贬损意味，构成网络暴力。,0.9,False,这种人配当男人吗[二哈],processed_comments_weibo_4000.csv,2025-03-26 16:31:09+08:00,
最好没有孩子，不然要累亖,0.6,harassment,虽然没有直接威胁，但表达了对孩子的负面评价，带有轻微的贬低和否定，可能被解读为一种隐含的负面情绪和潜在的压力，属于网络暴力的一种形式。,0.9,False,最好没有孩子，不然要累亖,processed_comments_weibo_4000.csv,2025-03-26 15:18:59+08:00,
一点责任担当都没有,0.6,harassment,虽然没有直接威胁或歧视，但“一点责任担当都没有”带有明显的贬义和侮辱性，构成网络暴力。,0.9,False,一点责任担当都没有,processed_comments_weibo_4000.csv,2025-03-26 15:07:07+08:00,
这还不离,0.8,harassment,‘这还不离’ 带有明显的侮辱性和攻击性，暗示对方有不好的经历或行为，属于网络暴力中的侮辱性言论。,0.9,False,这还不离,processed_comments_weibo_4000.csv,2025-03-26 15:02:28+08:00,
一年家务可是124万呐,0.8,harassment,评论使用数字'124万'进行嘲讽，带有明显的侮辱性和攻击性，构成网络暴力。,0.9,False,一年家务可是124万呐,processed_comments_weibo_4000.csv,2025-03-26 13:20:04+08:00,
什么时候值过这么多钱？两次案例都是五万，其他金额是分割共同财产。,0.6,harassment,虽然没有直接的威胁或歧视，但评论中提出的‘什么时候值过这么多钱？’带有贬低和质疑性质，可能被解读为对受害者的一种轻蔑和侮辱，属于网络暴力的一种形式。,0.9,False,什么时候值过这么多钱？两次案例都是五万，其他金额是分割共同财产。,processed_comments_weibo_4000.csv,2025-03-27 01:02:57+08:00,
真做家务了又不算,0.6,harassment,该评论使用‘不算’，带有指责和贬低对方行为的意味，构成一种轻微的侮辱和指责，带有潜在的威胁性。,0.9,False,真做家务了又不算[泪],processed_comments_weibo_4000.csv,2025-03-26 13:24:50+08:00,
告他强奸啊！对不起，走错片场了,0.8,threat,评论直接要求‘告他强奸’，带有威胁性，且使用不恰当的措辞，构成网络暴力。,0.9,False,告他强奸啊！对不起，走错片场了[哼],processed_comments_weibo_4000.csv,2025-03-26 14:14:31+08:00,
家务补偿124万一年呢？,0.8,harassment,评论使用'家务补偿'一词，带有贬义，暗示对方的职业或行为不值钱，具有侮辱性，构成网络暴力。,0.9,False,家务补偿124万一年呢？[酷],processed_comments_weibo_4000.csv,2025-03-26 22:18:00+08:00,
贫贱夫妻百事哀,0.6,harassment,虽然评论本身引用了经典诗句，但其核心含义‘贫贱夫妻百事哀’，在特定语境下可能被解读为对特定群体（例如，贫困夫妻）的贬低和嘲讽，带有侮辱性意味。,0.9,False,贫贱夫妻百事哀,processed_comments_weibo_4000.csv,2025-03-26 17:58:13+08:00,
一年省124万还不满足？,0.8,harassment,该评论使用带有侮辱性的语言，带有攻击性和贬低意味，构成网络暴力。,0.9,False,一年省124万还不满足？[允悲],processed_comments_weibo_4000.csv,2025-03-26 17:49:10+08:00,
不合适就离了吧,0.6,harassment,虽然没有直接的侮辱性词语，但'不合适就离了吧'带有否定和轻蔑的意味，可能构成一种不友好的言语攻击，属于网络暴力的一种形式。,0.9,False,不合适就离了吧[doge],processed_comments_weibo_4000.csv,2025-03-26 15:17:56+08:00,
谁上班不是上,0.8,harassment,该评论使用‘谁上班不是上’这句话，带有明显的贬低和侮辱性意味，带有攻击性，属于网络暴力中的侮辱行为。,0.9,False,谁上班不是上,processed_comments_weibo_4000.csv,2025-03-26 14:25:05+08:00,
女人不能起责任来么,0.6,harassment,该评论使用带有性别歧视色彩的语言，暗示女性不应该承担责任，具有贬低和侮辱性意味。,0.9,False,女人不能起责任来么,processed_comments_weibo_4000.csv,2025-03-26 13:16:28+08:00,
丈夫可以在家干隐形家务啊，一年赚 124 万不比妻子 5 万年薪强多了？,0.6,harassment,评论通过贬低对方收入和职业，带有侮辱性意味，构成网络暴力。,0.9,False,丈夫可以在家干隐形家务啊，一年赚 124 万不比妻子 5 万年薪强多了？,processed_comments_weibo_4000.csv,2025-03-26 13:22:17+08:00,
找不到“适合”工作，不是学历太高就是没学历,0.8,harassment,该评论使用‘没学历’这一词语进行贬低和侮辱，带有攻击性，属于网络暴力。,0.9,False,找不到“适合”工作，不是学历太高就是没学历[doge],processed_comments_weibo_4000.csv,2025-03-26 13:12:33+08:00,
可以找妇联领取一年124万,0.8,harassment,该评论使用侮辱性语言，将举报对象与特定群体（妇联）联系起来，带有贬低和攻击性，构成网络暴力。,0.9,False,可以找妇联领取一年124万,processed_comments_weibo_4000.csv,2025-03-26 16:00:13+08:00,
“隐形的家务”,0.6,harassment,‘隐形的家务’ 暗示对女性的贬低和指责，带有侮辱性和歧视性意味，构成网络暴力。,0.9,False,“隐形的家务”[泪],processed_comments_weibo_4000.csv,2025-03-26 21:48:05+08:00,
只要男人不工作一天就该死了是吧,0.85,威胁,评论直接威胁男性，使用极端且具有煽动性的语言，构成严重的威胁行为。,0.95,False,只要男人不工作一天就该死了是吧[摊手],processed_comments_weibo_4000.csv,2025-03-26 14:42:34+08:00,
首评？,0.6,harassment,虽然评论内容简单，但'首评？'可能带有轻微的嘲讽或贬低意味，暗示对方的评级不佳，属于网络暴力中的侮辱性言论。,0.9,False,首评？,processed_comments_weibo_4000.csv,2025-03-26 13:47:47+08:00,
谢谢,0.1,无,评论仅包含感谢语，不包含任何侮辱、威胁、歧视或煽动性内容。,0.95,False,谢谢[鲜花],processed_comments_weibo_4000.csv,2025-03-26 13:49:45+08:00,
🤔️,0.3,无,该评论仅包含一个思考表情符号，本身不包含任何侮辱、威胁、歧视或煽动性内容。,0.95,False,🤔️,processed_comments_weibo_4000.csv,2025-03-27 06:50:38+08:00,
同意同意,0.3,无,评论仅包含'同意同意'，没有包含任何侮辱、威胁、歧视或煽动性内容。,0.95,False,同意同意,processed_comments_weibo_4000.csv,2025-03-26 13:16:39+08:00,
